"Código do Nível Geográfico";"Nível Geográfico";"Código do Item Geográfico";"Item Geográfico";"Ordem Geográfica";"Código do Item Temporal";"Nível Temporal";"Item Temporal";"Domicílio, espécie";"Domicílio, espécie (código)";"Domicílio, espécie (ordem)";"Moradores, número (operação: Soma)";"Frequência";"Observações"
"9115";"Município (1991)";"430060";"Alvorada";"149";"1991";"8004";"1991";"Particular permanente";"1";"1";"141.692";"37341";"37341"
"9115";"Município (1991)";"170070";"Alvorada";"150";"1991";"8004";"1991";"Particular permanente";"1";"1";"9.810";"2264";"2264"
"9115";"Município (1991)";"310240";"Alvorada de Minas";"151";"1991";"8004";"1991";"Particular permanente";"1";"1";"3.889";"836";"836"
"9115";"Município (1991)";"520080";"Alvorada do Norte";"152";"1991";"8004";"1991";"Particular permanente";"1";"1";"7.329";"1567";"1567"
"9115";"Município (1991)";"410080";"Alvorada do Sul";"153";"1991";"8004";"1991";"Particular permanente";"1";"1";"9.643";"2344";"2344"
"9115";"Município (1991)";"110034";"Alvorada D'Oeste";"154";"1991";"8004";"1991";"Particular permanente";"1";"1";"20.956";"4426";"4426"
"9115";"Município (1991)";"500060";"Amambaí";"155";"1991";"8004";"1991";"Particular permanente";"1";"1";"25.853";"6337";"6337"
"9115";"Município (1991)";"160010";"Amapá";"156";"1991";"8004";"1991";"Particular permanente";"1";"1";"8.050";"1430";"1430"
"9115";"Município (1991)";"410090";"Amaporã";"157";"1991";"8004";"1991";"Particular permanente";"1";"1";"3.924";"954";"954"
"9115";"Município (1991)";"260090";"Amaraji";"158";"1991";"8004";"1991";"Particular permanente";"1";"1";"19.389";"4176";"4176"
"9115";"Município (1991)";"430063";"Amaral Ferrador";"159";"1991";"8004";"1991";"Particular permanente";"1";"1";"5.901";"1519";"1519"
"9115";"Município (1991)";"220050";"Amarante";"160";"1991";"8004";"1991";"Particular permanente";"1";"1";"16.445";"3623";"3623"
"9115";"Município (1991)";"210060";"Amarante do Maranhão";"161";"1991";"8004";"1991";"Particular permanente";"1";"1";"23.056";"4351";"4351"
"9115";"Município (1991)";"290100";"Amargosa";"162";"1991";"8004";"1991";"Particular permanente";"1";"1";"27.935";"6524";"6524"
"9115";"Município (1991)";"130006";"Amaturá";"163";"1991";"8004";"1991";"Particular permanente";"1";"1";"4.650";"803";"803"
"9115";"Município (1991)";"290110";"Amélia Rodrigues";"164";"1991";"8004";"1991";"Particular permanente";"1";"1";"22.605";"4772";"4772"
"9115";"Município (1991)";"290115";"América Dourada";"165";"1991";"8004";"1991";"Particular permanente";"1";"1";"15.799";"3068";"3068"
"9115";"Município (1991)";"350160";"Americana";"166";"1991";"8004";"1991";"Particular permanente";"1";"1";"152.786";"39936";"39936"
"9115";"Município (1991)";"520085";"Americano do Brasil";"167";"1991";"8004";"1991";"Particular permanente";"1";"1";"4.840";"1249";"1249"
"9115";"Município (1991)";"350170";"Américo Brasiliense";"168";"1991";"8004";"1991";"Particular permanente";"1";"1";"20.039";"4637";"4637"
"9115";"Município (1991)";"350180";"Américo de Campos";"169";"1991";"8004";"1991";"Particular permanente";"1";"1";"5.590";"1577";"1577"
"9115";"Município (1991)";"230075";"Amontada";"170";"1991";"8004";"1991";"Particular permanente";"1";"1";"25.101";"4966";"4966"
"9115";"Município (1991)";"520090";"Amorinópolis";"171";"1991";"8004";"1991";"Particular permanente";"1";"1";"4.399";"1168";"1168"
"9115";"Município (1991)";"350190";"Amparo";"172";"1991";"8004";"1991";"Particular permanente";"1";"1";"50.194";"12885";"12885"
"9115";"Município (1991)";"280010";"Amparo de São Francisco";"173";"1991";"8004";"1991";"Particular permanente";"1";"1";"1.891";"436";"436"
"9115";"Município (1991)";"310250";"Amparo do Serra";"174";"1991";"8004";"1991";"Particular permanente";"1";"1";"6.225";"1291";"1291"
"9115";"Município (1991)";"410100";"Ampére";"175";"1991";"8004";"1991";"Particular permanente";"1";"1";"13.036";"3089";"3089"
"9115";"Município (1991)";"270020";"Anadia";"176";"1991";"8004";"1991";"Particular permanente";"1";"1";"16.287";"3387";"3387"
"9115";"Município (1991)";"290120";"Anagé";"177";"1991";"8004";"1991";"Particular permanente";"1";"1";"41.526";"7320";"7320"
"9115";"Município (1991)";"150070";"Anajás";"178";"1991";"8004";"1991";"Particular permanente";"1";"1";"14.120";"2409";"2409"
"9115";"Município (1991)";"210070";"Anajatuba";"179";"1991";"8004";"1991";"Particular permanente";"1";"1";"19.524";"3915";"3915"
"9115";"Município (1991)";"350200";"Analândia";"180";"1991";"8004";"1991";"Particular permanente";"1";"1";"3.012";"749";"749"
"9115";"Município (1991)";"130008";"Anamã";"181";"1991";"8004";"1991";"Particular permanente";"1";"1";"5.986";"938";"938"
"9115";"Município (1991)";"170100";"Ananás";"182";"1991";"8004";"1991";"Particular permanente";"1";"1";"11.705";"2294";"2294"
"9115";"Município (1991)";"150080";"Ananindeua";"183";"1991";"8004";"1991";"Particular permanente";"1";"1";"87.746";"19020";"19020"
"9115";"Município (1991)";"520110";"Anápolis";"184";"1991";"8004";"1991";"Particular permanente";"1";"1";"237.251";"59898";"59898"
"9115";"Município (1991)";"210080";"Anapurus";"185";"1991";"8004";"1991";"Particular permanente";"1";"1";"10.241";"1978";"1978"
"9115";"Município (1991)";"500070";"Anastácio";"186";"1991";"8004";"1991";"Particular permanente";"1";"1";"19.076";"4519";"4519"
"9115";"Município (1991)";"500080";"Anaurilândia";"187";"1991";"8004";"1991";"Particular permanente";"1";"1";"7.268";"1779";"1779"
"9115";"Município (1991)";"420080";"Anchieta";"188";"1991";"8004";"1991";"Particular permanente";"1";"1";"9.561";"2154";"2154"
"9115";"Município (1991)";"320040";"Anchieta";"189";"1991";"8004";"1991";"Particular permanente";"1";"1";"14.792";"3432";"3432"
"9115";"Município (1991)";"290130";"Andaraí";"190";"1991";"8004";"1991";"Particular permanente";"1";"1";"14.234";"2853";"2853"
"9115";"Município (1991)";"410110";"Andirá";"191";"1991";"8004";"1991";"Particular permanente";"1";"1";"19.482";"4881";"4881"
"9115";"Município (1991)";"290135";"Andorinha";"192";"1991";"8004";"1991";"Particular permanente";"1";"1";"17.009";"3533";"3533"
"9115";"Município (1991)";"310260";"Andradas";"193";"1991";"8004";"1991";"Particular permanente";"1";"1";"28.190";"7447";"7447"
"9115";"Município (1991)";"350210";"Andradina";"194";"1991";"8004";"1991";"Particular permanente";"1";"1";"51.756";"13645";"13645"
"9115";"Município (1991)";"430066";"André da Rocha";"195";"1991";"8004";"1991";"Particular permanente";"1";"1";"1.042";"288";"288"
"9115";"Município (1991)";"310280";"Andrelândia";"196";"1991";"8004";"1991";"Particular permanente";"1";"1";"12.414";"2992";"2992"
"9115";"Município (1991)";"350220";"Angatuba";"197";"1991";"8004";"1991";"Particular permanente";"1";"1";"20.935";"5283";"5283"
"9115";"Município (1991)";"500085";"Angélica";"198";"1991";"8004";"1991";"Particular permanente";"1";"1";"8.813";"2171";"2171"
"9115";"Município (1991)";"260100";"Angelim";"199";"1991";"8004";"1991";"Particular permanente";"1";"1";"8.732";"2004";"2004"
"9115";"Município (1991)";"420090";"Angelina";"200";"1991";"8004";"1991";"Particular permanente";"1";"1";"6.111";"1383";"1383"
