"Código do Nível Geográfico";"Nível Geográfico";"Código do Item Geográfico";"Item Geográfico";"Ordem Geográfica";"Código do Item Temporal";"Nível Temporal";"Item Temporal";"Domicílio, espécie";"Domicílio, espécie (código)";"Domicílio, espécie (ordem)";"Frequência";"Observações"
"9115";"Município (1991)";"250240";"Bonito de Santa Fé";"585";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"1784";"1784"
"9115";"Município (1991)";"250250";"Boqueirão";"586";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"7280";"7280"
"9115";"Município (1991)";"430245";"Boqueirão do Leão";"587";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"1795";"1795"
"9115";"Município (1991)";"280067";"Boquim";"588";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"4815";"4815"
"9115";"Município (1991)";"290410";"Boquira";"589";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"3985";"3985"
"9115";"Município (1991)";"350720";"Borá";"590";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"191";"191"
"9115";"Município (1991)";"350730";"Boracéia";"591";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"850";"850"
"9115";"Município (1991)";"130080";"Borba";"592";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"2990";"2990"
"9115";"Município (1991)";"250270";"Borborema";"593";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"903";"903"
"9115";"Município (1991)";"350740";"Borborema";"594";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"3160";"3160"
"9115";"Município (1991)";"310830";"Borda da Mata";"595";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"3922";"3922"
"9115";"Município (1991)";"410330";"Borrazópolis";"596";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"2875";"2875"
"9115";"Município (1991)";"430250";"Bossoroca";"597";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"2105";"2105"
"9115";"Município (1991)";"310840";"Botelhos";"598";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"3629";"3629"
"9115";"Município (1991)";"350750";"Botucatu";"599";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"23643";"23643"
"9115";"Município (1991)";"310850";"Botumirim";"600";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"1456";"1456"
"9115";"Município (1991)";"290420";"Botuporã";"601";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"2055";"2055"
"9115";"Município (1991)";"420270";"Botuverá";"602";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"1049";"1049"
"9115";"Município (1991)";"420280";"Braço do Norte";"603";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"4007";"4007"
"9115";"Município (1991)";"430260";"Braga";"604";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"1249";"1249"
"9115";"Município (1991)";"150170";"Bragança";"605";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"17558";"17558"
"9115";"Município (1991)";"350760";"Bragança Paulista";"606";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"27607";"27607"
"9115";"Município (1991)";"410335";"Braganey";"607";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"1827";"1827"
"9115";"Município (1991)";"270110";"Branquinha";"608";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"1722";"1722"
"9115";"Município (1991)";"310870";"Brás Pires";"609";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"1235";"1235"
"9115";"Município (1991)";"500230";"Brasilândia";"610";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"2559";"2559"
"9115";"Município (1991)";"120010";"Brasiléia";"611";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"4477";"4477"
"9115";"Município (1991)";"530010";"Brasília";"612";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"377669";"377669"
"9115";"Município (1991)";"310860";"Brasília de Minas";"613";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"8900";"8900"
"9115";"Município (1991)";"510190";"Brasnorte";"614";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"1462";"1462"
"9115";"Município (1991)";"310890";"Brasópolis";"615";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"3270";"3270"
"9115";"Município (1991)";"350770";"Braúna";"616";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"1086";"1086"
"9115";"Município (1991)";"310880";"Braúnas";"617";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"1387";"1387"
"9115";"Município (1991)";"520360";"Brazabrantes";"618";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"592";"592"
"9115";"Município (1991)";"260240";"Brejão";"619";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"1941";"1941"
"9115";"Município (1991)";"260250";"Brejinho";"620";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"1582";"1582"
"9115";"Município (1991)";"240180";"Brejinho";"621";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"1827";"1827"
