cod_mun;mun;uf;dppo 1991;dppo 1996;dppo 2000;dppo 2010;dppo 2022;Particular 2022;Particular permanente 2022;Particular permanente não ocupado 2022
2502409;Bonito de Santa Fé;PB;1784;1784;2126;2808;3349;4612;4606;1257
2502508;Boqueirão;PB;7280;7852;3901;4863;5966;7555;7536;1570
2502607;Igaracy;PB;1153;1303;1537;1736;2022;2907;2898;876
2502706;Borborema;PB;903;957;1158;1404;1393;1946;1944;551
2502805;Brejo do Cruz;PB;2761;2859;2791;3631;4646;5805;5801;1155
2502904;Brejo dos Santos;PB;1349;1387;1538;1830;1982;2534;2534;552
2503001;Caaporã;PB;3080;3432;4202;5469;6834;8329;8328;1494
2503100;Cabaceiras;PB;1359;1461;1090;1511;1877;2564;2564;687
2503209;Cabedelo;PB;6238;8127;10974;17224;22773;33778;33737;10964
2503308;Cachoeira dos Índios;PB;1575;1792;1855;2609;3132;4151;4150;1018
2503407;Cacimba de Areia;PB;613;649;849;1033;1128;1923;1920;792
2503506;Cacimba de Dentro;PB;3689;3935;4075;4626;5426;7701;7696;2270
2503555;Cacimbas;PB;;;1605;1810;2291;3299;3299;1008
2503605;Caiçara;PB;2310;2358;1781;2101;2258;2912;2912;654
2503704;Cajazeiras;PB;11928;12650;14200;17305;22352;29774;29767;7415
2503753;Cajazeirinhas;PB;;;648;827;883;1320;1318;435
2503803;Caldas Brandão;PB;1061;1129;1373;1707;2015;2587;2585;570
2503902;Camalaú;PB;1376;1477;1533;1862;2423;3610;3600;1177
2504009;Campina Grande;PB;73138;82748;90009;112020;147149;183799;183743;36594
2504033;Capim;PB;;;957;1461;2194;2733;2732;538
2504074;Caraúbas;PB;;;914;1197;1453;2304;2304;851
2504108;Carrapateira;PB;352;420;479;592;754;899;899;145
2504157;Casserengue;PB;;;1584;1948;2412;3479;3478;1066
2504207;Catingueira;PB;1009;950;1027;1307;1452;2095;2095;643
2504306;Catolé do Rocha;PB;5293;5999;6588;8237;10631;13143;13140;2509
2504355;Caturité;PB;;;1042;1329;1802;2369;2369;567
2504405;Conceição;PB;4726;4872;4337;5139;6227;8596;8589;2362
2504504;Condado;PB;1458;1544;1515;1911;2275;3060;3056;781
2504603;Conde;PB;2115;2423;3891;5789;8966;17887;17882;8916
2504702;Congo;PB;1031;1142;1251;1478;1869;2814;2813;944
2504801;Coremas;PB;3148;3345;3683;4360;5086;6812;6809;1723
2504850;Coxixola;PB;;;407;588;734;1005;1005;271
