cod_mun;mun;uf;AVG MDPPO 1991;AVG MDPPO 1996;AVG MPPO 2000;AVG MDPPO 2007;AVG MDPPO 2010;AVG MDPPO 2022;MDPPO 1991;MDPPO 1996;MPPO 2000;MDPPO 2007;MDPPO 2010;MDPPO 2022;DPPO 1991;DPPO 1996;DPPO 2000;DPPO 2007;DPPO 2010;DPPO 2022;DPP 2022;DPPV 2022;DPPUO 2022
1600279;Laranjal do Jari;AP;4,95;4,79;4,64;4,20;4,04;3,39;21132;29647;28328;37392;39752;35059;4271;6190;6100;8910;9830;10331;13628;2585;712
1600303;Macapá;AP;5,35;4,75;4,66;4,32;4,20;3,56;177832;219701;281577;341275;396514;439881;33233;46263;60369;78938;94442;123482;149262;18770;7010
1600402;Mazagão;AP;5,85;5,48;5,23;4,95;4,79;4,10;8480;11338;11580;13694;16963;21802;1450;2070;2215;2764;3539;5321;7528;1045;1162
1600501;Oiapoque;AP;4,94;4,93;5,01;4,55;4,30;3,85;7440;9485;12520;18858;19957;27092;1507;1925;2498;4141;4643;7041;9486;1394;1051
1600535;Porto Grande;AP;;4,67;4,51;4,26;4,05;3,55;;7080;10445;13781;16713;17794;;1516;2318;3232;4123;5012;7853;1848;993
1600550;Pracuúba;AP;;5,83;5,41;4,88;4,71;4,16;;1690;2230;3345;3771;3800;;290;412;686;801;913;1323;295;115
1600600;Santana;AP;5,81;5,29;5,05;4,71;4,52;3,73;51000;69232;79766;91684;100916;107334;8774;13076;15794;19446;22335;28794;34648;4002;1852
1600709;Tartarugalzinho;AP;5,45;5,38;5,40;4,89;4,45;3,88;4630;4485;6996;12256;12525;12900;849;833;1295;2505;2816;3321;4213;605;287
1600808;Vitória do Jari;AP;;;5,39;4,74;4,45;3,74;;;8091;10590;12243;11244;;;1501;2235;2754;3006;4008;703;299
1700251;Abreulândia;TO;;4,23;3,83;3,49;3,15;2,78;;1943;2147;2230;2391;2575;;459;560;639;760;925;1286;204;157
1700301;Aguiarnópolis;TO;;;4,48;3,97;3,89;3,12;;;3116;3883;5137;4494;;;696;979;1322;1440;1822;244;138
